title,source,published_at,description,url
Trump administration weighs curbs on Chinese AI after Kimi K3,4sysops.com,2026-07-20T18:25:56Z,"The Trump administration is renewing efforts to restrict Chinese artificial-intelligence models after Moonshot AI released its open-weight Kimi K3 system, a large model positioned as a lower-cost rival to leading U.S. offerings. Officials cite cybersecurity r…",https://4sysops.com/archives/trump-administration-weighs-curbs-on-chinese-ai-after-kimi-k3/
"FakeGit Campaign Uses 7,600 GitHub Repositories to Spread SmartLoader Malware",Internet,2026-07-20T18:23:03Z,"Cybersecurity researchers have discovered nearly 7,600 malicious GitHub repositories, out of which more than 800 pose as artificial intelligence (AI) skills or Model Context Protocol (MCP) servers to deliver a malware family known as SmartLoader as part of an…",https://thehackernews.com/2026/07/fakegit-campaign-uses-7600-github.html
Hugging Face Latest Company Dealing With AI Cyberattacks,pymnts.com,2026-07-20T18:19:55Z,"Hugging Face, whose platform hosts AI datasets, has reportedly suffered an AI-powered data breach. As TechCrunch reported Monday (July 20), the company revealed the breach last week but said it was still determining if any customer or partner data had been st…",https://www.pymnts.com/cybersecurity/2026/hugging-face-latest-company-dealing-with-ai-cyberattacks/
"Google Must Share Anonymized Search Data With Rivals via @sejournal, @MattGSouthern",Search Engine Journal,2026-07-20T18:12:10Z,"EU binding rules require Google to share anonymized Search data with eligible rival engines and search-enabled AI chatbots.
The post Google Must Share Anonymized Search Data With Rivals appeared first on Search Engine Journal.",https://www.searchenginejournal.com/google-must-share-anonymized-search-data-with-rivals/582922/
Don't put a toll on UPI: Why merchant discount rate isn't the answer,The Times of India,2026-07-20T18:11:01Z,"A proposal to introduce a merchant discount rate (MDR) on UPI transactions above ₹2,000 for businesses with annual turnover of ₹1-1.5 crore aims to address the cost of maintaining the payments ecosystem. While banks and payment providers need a sustainable re…",https://economictimes.indiatimes.com/opinion/et-commentary/dont-put-a-toll-on-upi/articleshow/132522092.cms
The Authentication Layer,Activistpost.com,2026-07-20T18:00:00Z,"Afriend and I got into it recently. He’s smart, freedom-minded, and totally gets the danger of Central Bank Digital Currencies (CBDC). Expiring money, programmable control, carbon budgets – he sees most of the expanding tyranny clearly. And yet he dismisses D…",https://www.activistpost.com/the-authentication-layer/
"Trump administration reportedly reviving push to ban Chinese AI models following Kimi K3 launch, citing cybersecurity concerns — downloadable open weight",Slashdot.org,2026-07-20T17:53:46Z,The U.S. may be reigniting efforts to push companies away from Chinese open-weight AI models such as Kimi and DeepSeek.,https://slashdot.org/firehose.pl?op=view&amp;id=184527174
Virtual Grid Announces Strategic Investment from Aether Holdings and Commercial Partnership to Launch AetherPod™ AI Factories,GlobeNewswire,2026-07-20T17:44:00Z,Virtual Grid Announces Strategic Investment from Aether Holdings and Commercial Partnership to Launch AetherPod™ AI Factories...,https://www.globenewswire.com/news-release/2026/07/20/3330032/0/en/Virtual-Grid-Announces-Strategic-Investment-from-Aether-Holdings-and-Commercial-Partnership-to-Launch-AetherPod-AI-Factories.html
Canadian iPhone hacking firm sues ex-worker over alleged theft of secrets,Financial Post,2026-07-20T17:43:39Z,"Magnet Forensics filed a lawsuit against Mario Del Gaudio and Paradigm Shift Technology, alleging the flaw was publicly disclosed on the company's blog",https://financialpost.com/cybersecurity/iphone-hacking-firm-sues-worker-theft-secrets
New HollowGraph malware uses Microsoft Graph for stealthy C2 comms,BleepingComputer,2026-07-20T17:43:01Z,A malicious component dubbed HollowGraph uses the calendar feature in compromised Microsoft 365 mailboxes as a command-and-control channel to receive attacker commands and exfiltrate stolen data. [...],https://www.bleepingcomputer.com/news/security/new-hollowgraph-malware-uses-microsoft-graph-for-stealthy-c2-comms/
"Trump administration reportedly reviving push to ban Chinese AI models following Kimi K3 launch, citing cybersecurity concerns — downloadable open weights could make an outright U.S. ban nearly impossible to enforce amid growing adoption",Tom's Hardware UK,2026-07-20T17:39:23Z,The U.S. may be reigniting efforts to push companies away from Chinese open-weight AI models such as Kimi and DeepSeek.,https://www.tomshardware.com/tech-industry/artificial-intelligence/trump-administration-reportedly-reviving-push-to-ban-chinese-ai-models-following-kimi-k3-launch-citing-cybersecurity-concerns-downloadable-open-weights-could-make-an-outright-u-s-ban-nearly-impossible-to-enforce-amid-growing-adoption
How China Is Aiding Kazakh Efforts to Become Hyper Modern,The Diplomat,2026-07-20T17:37:00Z,"As Kazakhstan pushes forward to become a leading tech hub in the region, China continues to prove itself a crucial partner.",https://thediplomat.com/2026/07/how-china-is-aiding-kazakh-efforts-to-become-hyper-modern/
