title,source,published_at,description,url
LEGO Minecraft Chicken Farm Building Toy for $16 + free shipping w/ Prime,Dealnews.com,2026-07-30T15:20:36Z,"This LEGO Minecraft Chicken Farm set is $4 off the regular price at Amazon. It comes with 233 pieces and four Minecraft figures, including a baby zombie and fox, along with a chicken coop that lays eggs and dispenses seed. Buy Now at Amazon
 Features
 <ul> …",https://www.dealnews.com/products/LEGO/LEGO-Minecraft-Chicken-Farm-Building-Toy/512843.html
LEGO Building Sets & Toys at Macy's: 20% to 50% off + free shipping w/ $39,Dealnews.com,2026-07-30T13:39:39Z,"This Macy's sale covers LEGO sets across popular themes like Star Wars, Marvel, Disney, and Technic, with some sets marked down for clearance. Star Rewards members receive free shipping on orders over $39 (it's free to join). Non-members can pay $10.95 or get…",https://www.dealnews.com/LEGO-Building-Sets-Toys-at-Macys-20-to-50-off-free-shipping-w-39/21949456.html
amulet-map-editor 0.10.61a0,Pypi.org,2026-07-30T12:38:49Z,A Minecraft world editor and converter that supports all versions since Java 1.12 and Bedrock 1.7.,https://pypi.org/project/amulet-map-editor/0.10.61a0/
Xbox keeps sinking while Microsoft's AI business keeps soaring,TechSpot,2026-07-30T12:33:00Z,"While Xbox's 13% YoY drop in hardware revenue is not as bad as last quarter's 33% plummet, it still caps off a full year of uninterrupted declines. Price hikes and worrying PR surrounding the brand are likely the primary factors, and the situation is expected…",https://www.techspot.com/news/113290-xbox-keeps-sinking-while-microsoft-ai-business-keeps.html
"The Download: tricking LLMs, and reviving geothermal plants",MIT Technology Review,2026-07-30T12:10:00Z,"This is today’s edition of The Download, our weekday newsletter that provides a daily dose of what’s going on in the world of technology. A fundamental flaw leaves LLMs strikingly vulnerable to attack  It is impossible to make large language models fully secu…",https://www.technologyreview.com/2026/07/30/1140936/the-download-tricking-llms-reviving-geothermal/
Gamers compress 80TB map of Minecraft's oldest anarchy server down to a 15TB download — custom .zvcr compression format and 28 bots map 1 million blocks,Slashdot.org,2026-07-30T10:32:48Z,"Minecraft enthusiasts come together to archive Minecraft's 2b2t server, which currently weighs over 80TB but is compressed to a mere 15TB.",https://slashdot.org/firehose.pl?op=view&amp;id=184767654
Gamers compress 80TB map of Minecraft's oldest anarchy server down to a 15TB download — custom .zvcr compression format and 28 bots map 1 million blocks on infamous 2b2t server,Tom's Hardware UK,2026-07-30T10:25:00Z,"Minecraft enthusiasts come together to archive Minecraft's 2b2t server, which currently weighs over 80TB but is compressed to a mere 15TB.",https://www.tomshardware.com/video-games/pc-gaming/gamers-compress-80tb-map-of-minecrafts-oldest-anarchy-server-down-to-a-15tb-download-custom-zvcr-compression-format-and-28-bots-map-1-million-blocks-on-2b2t
Discussion: What are the top 5 upcoming games you're most excited for? Hard mode: No GTA 6.,Windows Central,2026-07-30T09:00:00Z,"The industry is having a tough time, but there's more content than ever about to drop into our collective laps. What are some of the biggest upcoming games you're most excited for? Drop in our comments, let's hear it.",https://www.windowscentral.com/gaming/discussion-what-are-the-top-5-upcoming-games-youre-most-excited-for
"The Tim Ferriss Show Transcripts: Q&A with Tim — The Art of Male Friendship, Mini-Retirements, Higher-Resolution Living, Reinvention in The Age of AI, and More (#877)",Tim.blog,2026-07-30T06:43:42Z,"Please enjoy this transcript of a wide-ranging Q&A I did with subscribers. We explore reinvention, enduring skills for the age of AI, friendship, mental health, fitness, language-learning, privacy, cognitive longevity, and more. Books, people, tools, and reso…",https://tim.blog/2026/07/29/qa-with-tim-male-friendship-transcript/
packserver 1.2.2,Pypi.org,2026-07-30T05:11:22Z,A simple Minecraft Resource Pack server,https://pypi.org/project/packserver/1.2.2/
Society Insider: Hollywood stars touring NZ as Minecraft sequel filming ends and Hunt for Gollum begins,New Zealand Herald,2026-07-30T05:00:00Z,"Andy Serkis, Jamie Dornan, Kirsten Dunst and Elijah Wood have been out and about.",https://www.nzherald.co.nz/lifestyle/society-insider-hollywood-stars-touring-nz-as-minecraft-sequel-filming-ends-and-hunt-for-gollum-begins/premium/H6BVWX7DQJDO3CRN6I7DPV3QRQ/
mc-netease-sdk-stubs 3.9.0.79920,Pypi.org,2026-07-30T02:32:07Z,Type stubs for the NetEase Minecraft Python Mod SDK,https://pypi.org/project/mc-netease-sdk-stubs/
Microsoft CEO Says Xbox Will ‘Return To Growth’ This Fiscal Year,Kotaku,2026-07-29T22:47:22Z,He did not specify what that means,https://kotaku.com/microsoft-ceo-says-xbox-will-return-to-growth-this-fiscal-year-2000720333
mcanvil 0.9.8.71,Pypi.org,2026-07-29T17:08:18Z,A Minecraft bedrock content development framework.,https://pypi.org/project/mcanvil/0.9.8.71/
Planet Crafter and Save Sync,Wordpress.com,2026-07-29T15:15:06Z,"When did I even buy Planet Crafter?  Why did I buy it?  Steam says I bought it back in November of 2025, purchasing it when I grabbed Forza Horizon 5, which had been marked way down to tempt the last few of us in its target demographic before Forza Horizon 6 …",https://tagn.wordpress.com/2026/07/29/planet-crafter-and-save-sync/
"""OfficeClickToRun.exe"" Detection",BleepingComputer,2026-07-29T14:24:13Z,"""OfficeClickToRun.exe"" Detection - posted in Virus, Trojan, Spyware, and Malware Removal Help: Hello,
I need some help again after quite a while:
 
I started my computer, and after a few minutes, I received a detection alert from my virus scanner (Bitdefender…",https://www.bleepingcomputer.com/forums/t/817645/officeclicktorunexe-detection/
Please stop announcing cozy video games that never get a release date,Pockettactics.com,2026-07-29T14:00:39Z,"It’s not very cozy keeping players waiting for years for your game to come out, is it?",https://www.pockettactics.com/cozy-game-release-date-delays
Shipping Godot VR and Porting to PSVR2: A Partial Post Mortem,Claire-blackshaw.com,2026-07-29T12:48:18Z,"TLDR: Written version of the talk I gave at Develop Brighton 2026. Yes Godot can ship commercial VR, we paid roughly £80k in early adopter tax to do it. War stories from rebuilding Godot's core, the",https://www.claire-blackshaw.com/blog/2026/07/shipping-godot-vr-and-porting-to-psvr2-a-partial-post-mortem/
stewbeet 3.5.7,Pypi.org,2026-07-29T12:23:10Z,Beet Framework made to help generating advanced Minecraft datapack contents,https://pypi.org/project/stewbeet/3.5.7/
Why Kids Can’t Quit Roblox,The Atlantic,2026-07-29T12:00:00Z,The mechanics of many games on the platform are nearly identical to those of slot machines and sports-betting apps.,https://www.theatlantic.com/family/2026/07/roblox-kids-gaming-mechanics-gambling/688095/
"Xbox Reveals its Gamescom 2026 Lineup, Showcasing Gears of War: E-Day",iPhone in Canada,2026-07-29T11:59:22Z,"Xbox has announced its lineup of games and events for Gamescom, including the playable Gears of War: E-Day campaign.
The post Xbox Reveals its Gamescom 2026 Lineup, Showcasing Gears of War: E-Day first appeared on iPhone in Canada.",https://www.iphoneincanada.ca/2026/07/29/xbox-reveals-its-gamescom-2026-lineup-showcasing-gears-of-war-e-day/
Xbox unveils strong Gamescom lineup – but faces a trust problem,Notebookcheck.net,2026-07-29T11:39:00Z,"Gamescom 2026 is set to take place in Cologne at the end of August, and Microsoft is pulling out all the stops for the Xbox’s 25th anniversary: more than 20 games, 140 gaming stations, and several playable demos for high-profile titles like Metro 2039 and Cal…",https://www.notebookcheck.net/Xbox-unveils-strong-Gamescom-lineup-but-faces-a-trust-problem.1354768.0.html
stewbeet 3.5.6,Pypi.org,2026-07-29T11:31:38Z,Beet Framework made to help generating advanced Minecraft datapack contents,https://pypi.org/project/stewbeet/3.5.6/
Cyclospora outbreak tied to Taco Bell will steal the spotlight from Yum Brands' earnings,CNBC,2026-07-29T11:00:01Z,"Wall Street is projecting a strong second quarter for Yum Brands, but investors' focus will be on updates related to the cyclospora outbreak tied to Taco Bell.",https://www.cnbc.com/2026/07/29/cyclospora-outbreak-taco-bell-yum-brands-earnings.html
“He always looks hungover”: Newly released footage of former Cowboys icon Tony Romo reveals what actually happened during the tense roadside encounter,The Times of India,2026-07-29T02:50:18Z,"Newly released bodycam footage has brought fresh attention to former Dallas Cowboys quarterback Tony Romo's Wisconsin traffic stop. The video captures his conversation with officers, his questions during field sobriety testing and the moments leading up to hi…",https://timesofindia.indiatimes.com/sports/nfl/news/he-always-looks-hungover-newly-released-footage-of-former-cowboys-icon-tony-romo-reveals-what-actually-happened-during-the-tense-roadside-encounter/articleshow/132698101.cms
"UGC NET June 2026 answer key: Expected release, challenge process and key dates candidates should know",The Times of India,2026-07-29T02:49:28Z,"The National Testing Agency is expected to release the UGC NET June 2026 provisional answer key shortly after the examination concluded on July 5. Candidates will be able to download the answer key, response sheet and question paper from the official portal a…",https://timesofindia.indiatimes.com/education/news/ugc-net-june-2026-answer-key-expected-release-challenge-process-and-key-dates-candidates-should-know/articleshow/132698405.cms
"Fortnite x Spider-Man Brand New Day revealed: Release date, skins, web shooters, and more",The Times of India,2026-07-29T02:47:11Z,"Get ready, Fortnite fans! The game has just announced a thrilling new collaboration featuring Spider-Man and the Punisher. The official trailer has revealed stunning new skins, including Tom Holland's Spider-Man. Players will also be delighted by the comeback…",https://timesofindia.indiatimes.com/sports/esports/fortnite/fortnite-x-spider-man-brand-new-day-revealed-release-date-skins-web-shooters-and-more/articleshow/132697942.cms
Why constant snacking is ruining your metabolic health,The Times of India,2026-07-29T02:46:37Z,"Health News: We live in a culture that loves to munch. Whether it is a cup of tea paired with biscuits, a bowl of quick-commerce namkeen, or late-night dessert bin.",https://timesofindia.indiatimes.com/health/why-constant-snacking-is-ruining-your-metabolic-health/articleshow/132698290.cms
