title,source,published_at,description,url
Senators tell Apple to drop Chinese memory chips plan,Cult of Mac,2026-07-30T17:20:16Z,"A bipartisan group of US senators wants Apple to stop pursuing Chinese memory chips, warning of national security risks.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",https://www.cultofmac.com/news/senators-urge-apple-drop-chinese-memory-chips
Mac mini shortage drags into summer (and Mac Studio situation is even worse),Cult of Mac,2026-07-30T16:38:52Z,"The Mac mini shortage isn’t over. Wait times still stretch past four months, and Apple’s June price hikes made things worse.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",https://www.cultofmac.com/news/mac-mini-shortage-price-hikes-2026
Back-to-School Tech Is Expensive. These Student Deals and Discounts Can Help,CNET,2026-07-30T16:30:43Z,"Students may qualify for year-round free shipping, subscriptions and savings, too.",https://www.cnet.com/tech/back-to-school-student-tech-discounts-deals/
Silicon-carbon batteries may be limited to some Galaxy S27 series models,SamMobile,2026-07-30T16:20:10Z,"The Galaxy Z Fold 8 and Galaxy Z Fold 8 Ultra became Samsung's first phones to feature silicon-carbon anode batteries. Similar higher-capacity batteries are reportedly coming to the Galaxy S27 Pro and Galaxy S27 Ultra. However, you should not get your hopes u…",https://www.sammobile.com/news/silicon-carbon-batteries-may-be-limited-some-galaxy-s27-series-models/
"ASUS Vivobook Go 15 N150 15.6"" Laptop for $210 + free shipping w/ Prime",Dealnews.com,2026-07-30T16:06:44Z,"Use promo code ""WOOTSCHOOL"" to drop this ASUS Vivobook Go 15 to $209.99. That's $90 less than you'd pay at Amazon today. Prime members get free shipping, too. Deal ends August 18. Buy Now at Woot! An Amazon Company
 Features
 <ul> <li>Intel Processor N150 4…",https://www.dealnews.com/products/ASUS/ASUS-Vivobook-Go-15-N150-15-6-Laptop/512844.html
We Dug Through All the iPhone 18 Pro Rumors. Here's What Looks Legit,PCMag.com,2026-07-30T15:51:27Z,"Apple's fall event is reportedly all about its new premium devices: Pro iPhones and a foldable device. Here are the 18 Pro rumors we've heard about camera, price, and more.
Android fans have plenty of new smartphone options this summer, from Samsung's latest …",https://uk.pcmag.com/mobile-phones/166235/we-dug-through-all-iphone-18-pro-rumors-heres-what-looks-legit
Best Buy is selling an RTX 5080 for more than the RTX 5090’s MSRP,The Verge,2026-07-30T15:48:10Z,"Best Buy has raised the price of the Asus ROG Astral RTX 5080 OC to $2,099 - the first time a major US retailer is directly selling an RTX 5080 for more than the $1,999 MSRP of the RTX 5090, VideoCardz reports. The ROG Astral RTX 5080 OC now costs 40 percent …",https://www.theverge.com/games/973173/asus-rog-rtx-5080-price-hike-best-buy
"Deals: MacBook Pro $500 off, rare MacBook Air discounts, AirTag 2, charging gear, MagSage Battery, more",9to5Mac,2026-07-30T15:38:48Z,"Today’s 9to5Toys Lunch Break is headlined by the ongoing price drops on AirPods Pro 3 at $50 off and AirPods Max 2 at $100 off, as well as the best price ever on Apple’s AirTag 2, but we also spotted some rare M5 MacBook Air deals – 10-Core base model $150 of…",https://9to5mac.com/2026/07/30/deals-macbook-pro-macbook-air-airtag-2-airpods/
"Samsung Is Signing 5-Year Memory Deals With Data Centers, and Your Next Phone Will Pay for It",Android Headlines,2026-07-30T15:35:31Z,"To take advantage of this RAM boom, Samsung is locking in long-term chip orders as AI-driven demand continues to exceed available production. Shortages",https://www.androidheadlines.com/2026/07/samsung-is-signing-5-year-memory-deals-with-data-centers-and-your-next-phone-will-pay-for-it.html
"Refurb Apple MacBook Pro M1 Pro 16"" Laptop w/ 32GB RAM & 1TB SSD for $925 + free shipping w/ Prime",Dealnews.com,2026-07-30T15:22:14Z,"Use promo code ""APPLETEN"" at checkout to drop this refurbished 16"" MacBook Pro to $924.99. That's $274 less than Amazon charges for a refurb. It features Apple's M1 Pro chip, 32GB of memory, and a 1TB SSD, all backed by a 90-day Woot warranty. Prime members g…",https://www.dealnews.com/Refurb-Apple-Mac-Book-Pro-M1-Pro-16-Laptop-w-32-GB-RAM-1-TB-SSD-for-925-free-shipping-w-Prime/21949509.html
