title,source,published_at,description,url
Tom Holland is supported by his proud parents Nikki and Dominic at the Spider-Man: Brand New Day premiere as he earns rave reviews from critics,Dailymail.com,2026-07-30T11:46:45Z,Tom Holland's parents were proudly in attendance as they joined the actor at the LA premiere of Spider-Man: Brand New Day.,https://www.dailymail.com/tvshowbiz/article-16016459/Tom-Holland-parents-Nikki-Dominic-Spider-Man-Brand-New-Day-premiere.html
Lottie Moss looks effortlessly stylish in a red minidress as she stuns at Spider-Man: Brand New Day premiere,Dailymail.com,2026-07-30T11:07:16Z,Lottie Moss looked effortlessly stylish in a red minidress as she attended the star-studded Spider-Man: Brand New Day premiere on Wednesday.,https://www.dailymail.com/tvshowbiz/article-16016361/Lottie-Moss-Spider-Man-Brand-New-Day-premiere.html
Confirmed: Multiple Actors Cut From Tom Holland’s ‘Spider-Man: Brand New Day’,Inside the Magic,2026-07-30T10:32:57Z,"As the latest entry in the Marvel Cinematic Universe’s Spider-Man franchise hits theaters, new information has come to light about the cast. With Spider-Man: Brand New Day (2026) swinging into theaters this week, Marvel Studios and Sony Pictures are preparing…",https://insidethemagic.net/2026/07/confirmed-multiple-actors-cut-tom-holland-spider-man-brand-new-day-th1/
Heartwarming moment Tom Holland swoons over Zendaya as she steps onto the red carpet at Spider-Man premiere after calling her his 'wife',Dailymail.com,2026-07-30T09:19:39Z,Tom Holland was caught swooning over his wife Zendaya as she stepped onto the red carpet at the Spider-Man premiere on Wednesday.,https://www.dailymail.com/tvshowbiz/article-16015871/Tom-Holland-swoons-Zendaya-Spider-Man.html
Hollywood’s ‘memory moment’: How Spider-Man vs. The Odyssey is driving the box office’s best summer since the pandemic,Fortune,2026-07-30T06:45:00Z,"With the box office tracking to its first $10 billion year since the pandemic, Tom Holland and Zendaya (and Jon Bernthal) find themselves in rare company.",https://fortune.com/2026/07/30/hollywood-memory-moment-how-spider-man-vs-the-odyssey-is-driving-box-offices-best-summer-since-pandemic/
Critics identify stand-out star in Spider-Man: Brand New Day in early reviews: ‘She’s devastating’,The-independent.com,2026-07-30T06:31:23Z,Spider-Man: Brand New Day opens in cinemas on 31 July,https://www.the-independent.com/arts-entertainment/films/news/sadie-sink-spider-man-brand-new-day-tom-holland-stranger-things-b3024304.html
Spider-Man: Brand New Day is the return of the mid-tier Marvel movie,ABC News (AU),2026-07-30T03:05:33Z,Tom Holland's return as a now-anonymous Peter Parker isn't the igniting spark Marvel needs to revive its cinematic universe.,https://www.abc.net.au/news/2026-07-30/spiderman-brand-new-day-review-sadie-sink/106969964
Zendaya says 'easy' working with husband Tom Holland at Spider-Man premiere,BBC News,2026-07-29T20:21:46Z,"The couple walked the white carpet at the London premiere of their latest film, Spiderman: Brand New Day.",https://www.bbc.co.uk/news/articles/c0km3d2j6mko
Tomdaya: at home at last?,LaineyGossip,2026-07-29T19:54:17Z,"My bad, I was wrong, I’m the problem… when I said that the LA premiere of Spider-Man: Brand New Day would be the last because I actually thought they were already in London, and they were, but for The Odyssey, three weeks ago. There have been so many carpets,…",https://www.laineygossip.com/zendaya-and-tom-hollands-spider-man-brand-new-day-might-finally-have-come-to-a-close-at-home-in-london/
Caught in a web: Spider-Man battles the Marvel machine in Brand New Day,CBC News,2026-07-29T19:44:08Z,"How do you reset a superhero when he's a critical character for not one, but two Hollywood studios? Spider-Man: Brand New day tries to give Tom Holland a more mature hero, while attempting to overcome movie studio shenanigans.",https://www.cbc.ca/news/entertainment/spider-man-brand-new-day-tom-holland-9.7288116
