title,source,published_at,description,url
"Trump Is Really, Really Unpopular, New Polling Shows",Rolling Stone,2026-07-30T17:20:50Z,"Donald Trump's approval rating is hovering in the low 30s, according to three reputable polls released this week as the Iran war intensifies.",http://www.rollingstone.com/politics/politics-news/trump-polling-craters-iran-war-cost-of-living-crisis-1235601053/
DeFi oil trading surges as Iran war disruptions push traders to decentralized platforms,Crypto Briefing,2026-07-30T17:19:54Z,"DeFi's rise in oil trading amid geopolitical tensions highlights its potential to reshape global markets, though regulatory risks loom large.
The post DeFi oil trading surges as Iran war disruptions push traders to decentralized platforms appeared first on Cr…",https://cryptobriefing.com/defi-oil-trading-iran-war-hyperliquid/
War powers resolution fails as Senate Republicans stand by Trump on Iran,Fox News,2026-07-30T17:19:04Z,Senate Republicans blocked another war powers resolution as munitions dwindle and Sen. Bill Cassidy draws a hardline on ground troops in Iran.,https://www.foxnews.com/politics/war-powers-resolution-fails-senate-republicans-stand-trump-iran
Saudi Arabia’s fiscal deficit narrows 75% as oil prices spike on Iran war tensions,Crypto Briefing,2026-07-30T17:11:46Z,"Saudi Arabia's fiscal health improves, but reliance on volatile oil prices underscores the need for economic diversification to ensure stability.
The post Saudi Arabia’s fiscal deficit narrows 75% as oil prices spike on Iran war tensions appeared first on Cry…",https://cryptobriefing.com/saudi-arabia-fiscal-deficit-narrows-oil-price-spike/
The Bank of England Has a Trump Problem as Iran War Blocks Rate Cuts,Financial Post,2026-07-30T17:01:53Z,Read between the lines and the Bank of England has a simple message for British workers losing their jobs or homeowners facing high mortgage rates: Blame Donald Trump.,https://financialpost.com/pmn/business-pmn/the-bank-of-england-has-a-trump-problem-as-iran-war-blocks-rate-cuts
"U.S. GDP Growth Slows to 1.5% in Second Quarter, Missing Forecasts",OilPrice.com,2026-07-30T17:00:00Z,"The US economy grew at a far weaker than expected pace in the second quarter despite a pickup in consumer spending and solid business investment. According to the BEA, GDP (inflation adjusted) rose just 1.5% in the period, according to the first estimate issu…",https://oilprice.com/Finance/the-Economy/US-GDP-Growth-Slows-to-15-in-Second-Quarter-Missing-Forecasts.html
Average 30-year US mortgage rate rises to highest level in a year at 6.66%,Abcnews.com,2026-07-30T16:53:17Z,"The average long-term U.S. mortgage rate rose for the fourth consecutive week to its highest level in a year, another setback for prospective homebuyers hoping for a break from elevated home loan borrowing costs",https://abcnews.com/Business/wireStory/average-30-year-us-mortgage-rate-rises-highest-135232525
Mastercard profit beats estimates on strong consumer spending,The Times of India,2026-07-30T16:52:40Z,"Mastercard reported better-than-expected second-quarter profits on Thursday.  Strong transaction volumes and resilient consumer spending supported the company's financial performance.  Gross dollar volume rose eight percent, and net revenue increased fourteen…",https://economictimes.indiatimes.com/markets/us-stocks/wall-street-guide/mastercard-profit-beats-estimates-on-strong-consumer-spending/articleshow/132745542.cms
Drone hits US-tanker the Mediterranean as the Iran war expands,Biztoc.com,2026-07-30T16:46:52Z,"On today's episode of Iran: the Latest, Sophie O'Sullivan speaks to David Blair, The Telegraph's Chief Foreign Affairs ...",https://biztoc.com/x/b5571ddfb52adcf8
"In The Middle Of A War, The Trump Administration Has Cut National Security Staffing In Half",Techdirt,2026-07-30T16:31:10Z,"The on-again, off-again, new forever war we’ve been cursed with because Donald Trump felt people just weren’t paying attention to him enough is going to be headache for years to come. Trump assumes that if he acts like a bully, everyone will just back down. B…",http://www.techdirt.com/2026/07/30/in-the-middle-of-a-war-the-trump-administration-has-cut-national-security-staffing-in-half/
Ron Paul on Trump’s CENTCOM Chief saying: ‘Give Me Two (More) Weeks To Win the Iran War!’,Antiwar.com,2026-07-30T16:30:57Z,On today’s Ron Paul Liberty Report: Five months of on and off US bombing of Iran has left the US in a worse position than when the war began. Iran now controls the Strait of Hormuz. Most if not all US bases in the Gulf region are destroyed or seriously damage…,https://www.antiwar.com/blog/2026/07/30/ron-paul-on-trumps-centcom-chief-saying-give-me-two-more-weeks-to-win-the-iran-war/
"Mortgage Rates in US Rise to 6.66%, Highest Level in a Year",Financial Post,2026-07-30T16:20:44Z,Borrowing costs increase as continued fighting in Iran fuels concern about higher inflation.,https://financialpost.com/pmn/business-pmn/mortgage-rates-in-us-rise-to-6-66-highest-level-in-a-year
US and Iran trade missile barrages as hopes dim for a quick resolution to the five-month conflict,The Times of India,2026-07-30T16:20:09Z,"The United States and Iran exchanged missile strikes, escalating regional conflict. Jordan and Kuwait reported intercepting Iranian missiles and a deadly strike respectively. Drone attacks caused fires on ships at an Egyptian port this week. The ongoing war h…",https://economictimes.indiatimes.com/news/defence/us-and-iran-trade-missile-barrages-as-hopes-dim-for-a-quick-resolution-to-the-five-month-conflict/articleshow/132745260.cms
Pentagon Turns to Tech Start-Ups as Iran Conflict Drains Missile Stockpiles,Sputnikglobe.com,2026-07-30T16:18:26Z,"WASHINGTON (Sputnik) - The US Department of War (DOW) plans to actively involve technology start-ups to refill weapon stockpiles shrunk by the conflict with Iran, The Washington Post reported on Thursday, citing acting Pentagon Press Secretary Joel Valdez.",https://sputnikglobe.com/20260730/pentagon-turns-to-tech-start-ups-as-iran-conflict-drains-missile-stockpiles-1124519631.html
Real Yields Surging,Econbrowser.com,2026-07-30T16:05:21Z,"TIPS 30 year yields up 55 bps since the War’s start; 10 year up 69 bps. Figure 1: TIPS 30 year yield, % (blue). Green shading denotes US-Iran War. Source: Treasury. Figure 2: TIPS 10 year yield, % (blue). Green shading denotes US-Iran War. Source: Treasury.",https://econbrowser.com/archives/2026/07/real-yields-surging
Average 30-year US mortgage rate rises to highest level in a year at 6.66%,Yahoo Entertainment,2026-07-30T16:01:53Z,"The average long-term U.S. mortgage rate rose for the fourth consecutive week to its highest level in a year, another setback for prospective homebuyers hopi...",https://finance.yahoo.com/real-estate/articles/average-30-us-mortgage-rate-160153741.html
'More about botox than bombs': GOP candidates have a Hegseth headache — Dems are delighted,Raw Story,2026-07-30T16:00:47Z,"Defense Secretary Pete Hegseth's blunders and bluster are about to become a central argument against Republican lawmakers in the upcoming midterm election, according to a new report.Democratic candidates and campaign strategists consider the controversial Don…",https://www.rawstory.com/hegseth-2677292808/
The 5 at 5: Thursday,TheJournal.ie,2026-07-30T15:58:44Z,"Five minutes, five stories, five o’clock…",https://www.thejournal.ie/5-at-5-431-7117936-Jul2026/
Key inflation gauge falls while economic growth slows – but the Fed could still raise rates,New York Post,2026-07-30T15:56:53Z,"The data is largely backward-looking, since much of the decline in prices is due to a 9% drop in energy and gasoline prices in June after the US and Iran signed a ceasefire agreement that has since fallen apart.",https://nypost.com/2026/07/30/business/key-inflation-gauge-falls-while-economic-growth-slows-but-the-fed-could-still-raise-rates/
European Countries Aren't Lifting A Finger To Help Whiskey Pete,Crooksandliars.com,2026-07-30T15:56:16Z,"Our European allies are refusing to help the United States create a joint patrol of the Strait of Hormuz until they see an actual and lengthy cease-fire in Trump's war with Iran.
Mr. Testosterone, the US Secretary of Defense, asked the UK and France to lead t…",https://crooksandliars.com/2026/07/pete-hegseth-rebuffed-europe-over-naval-patrol
Crude Oil Prices Slip on Ongoing US-Iran Negotiations,Biztoc.com,2026-07-30T15:54:28Z,"September WTI crude oil (CLU26) today is down -0.16 (-0.19%), and September RBOB gasoline (RBU26) is down -0.0740 (-2.29%).
Crude oil and gasoline prices gave up an overnight advance and turned lower on hopes for a diplomatic solution to the US-Iran war, alon…",https://biztoc.com/x/a062f8a9517b0e86
Nevada’s Data Centers Power a Surveillance Pipeline That Ends at Our Doorstep,Common Dreams,2026-07-30T15:51:39Z,"The Israeli military’s Orwellian use of artificial intelligence for surveillance, targeting, and execution of attacks against Palestinians in Gaza and the West Bank has been well-documented by journalists, reporters, and activists in Israel and the United Sta…",https://www.commondreams.org/opinion/data-centers-israel-to-nevada
Hormuz Oil-Tanker Shuttling Trade Is Picking Up Again After Lull,Financial Post,2026-07-30T15:50:16Z,"The oil-shuttling service that has been crucial to getting cargoes out of the Strait of Hormuz has picked up again after a recent lull, helping millions of barrels escape as Middle East hostilities escalate.",https://financialpost.com/pmn/business-pmn/hormuz-oil-tanker-shuttling-trade-is-picking-up-again-after-lull
"28% of Americans still approve of Trump's handling of the Iran war, probably on the basis of just wanting to watch the world burn [Murica]",Fark.com,2026-07-30T15:50:15Z,"28% of Americans still approve of Trump's handling of the Iran war, probably on the basis of just wanting to watch the world burn",https://www.fark.com/comments/14147580/-28-of-Americans-still-approve-of-Trumps-handling-of-Iran-war-probably-on-basis-of-just-wanting-to-watch-world-burn
Shell Turns Volatility Into a Cash Machine,Moby.co,2026-07-30T15:37:21Z,"The oil major posted its best quarterly profit since 2022 as Iran war-driven energy swings lifted prices, trading and buybacks.",https://app.moby.co/home/news/news-shell-turns-volatility-into-a-cash-machine?utm_source=yahoo_finance&amp;utm_medium=rss
US Navy plans major torpedo stockpile overhaul as military shifts to two-war strategy,Fox News,2026-07-30T15:37:08Z,The Navy's torpedo overhaul targets MK-48 and MK-54 production as lawmakers push a two-war strategy amid depleted missile stockpiles from the Iran war.,https://www.foxnews.com/politics/us-navy-plans-major-torpedo-stockpile-overhaul-military-shifts-two-war-strategy
